EmployeeNumber,Age,Gender,Department,JobRole,Education,EducationField,MaritalStatus,MonthlyIncome,ExpectedSalary,CompRatio,CompSegment,PercentSalaryHike,PerformanceRating,StockOptionLevel,StockMultiplier,OverTime,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,TrainingTimesLastYear,BusinessTravel,DistanceFromHome,IncentiveEligible,SimulatedPayout,RiskScore,AttritionRisk,Attrition,AttritionFlag
14,35,Male,Research & Development,Laboratory Technician,3,Medical,Married,2426,4049.0010173731052,0.5991601359423542,Underpaid,13,3,1,1.1,No,5,4,0,3,6,0,2,1,3,3,5,Travel_Rarely,16,1,4163.0160000000005,45,Medium,No,0
15,29,Female,Research & Development,Laboratory Technician,2,Life Sciences,Single,4193,6105.781878249844,0.6867261365716978,Underpaid,12,3,0,1.0,Yes,9,5,0,8,10,0,3,4,3,4,3,Travel_Rarely,15,0,0.0,55,High,No,0
16,31,Male,Research & Development,Research Scientist,1,Life Sciences,Divorced,2911,3537.5779210913934,0.8228794008025454,Underpaid,17,3,1,1.1,No,5,2,4,3,5,1,3,1,2,4,1,Travel_Rarely,26,1,6532.2840000000015,50,High,No,0
18,34,Male,Research & Development,Laboratory Technician,2,Medical,Divorced,2661,2719.3291357875137,0.9785501743720987,Fair,11,3,1,1.1,No,2,2,1,2,3,0,4,2,3,3,2,Travel_Rarely,19,1,3863.7720000000004,0,Stable,No,0
19,28,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,2028,4090.374705759313,0.49579809819001264,Underpaid,14,3,0,1.0,Yes,4,2,0,3,6,5,3,3,3,2,4,Travel_Rarely,24,0,0.0,55,High,Yes,1
20,29,Female,Research & Development,Manufacturing Director,4,Life Sciences,Divorced,9980,5627.559756673745,1.7734151979754065,Overpaid,11,3,1,1.1,No,10,9,8,8,10,1,1,2,3,3,1,Travel_Rarely,21,0,0.0,35,Medium,No,0
21,32,Male,Research & Development,Research Scientist,2,Life Sciences,Divorced,3298,4404.309348709099,0.7488120699257064,Underpaid,12,3,2,1.2,Yes,6,2,0,5,7,0,2,1,2,4,5,Travel_Rarely,5,0,0.0,70,High,No,0
22,22,Male,Research & Development,Laboratory Technician,2,Medical,Divorced,2935,1860.9888347148874,1.5771185432445953,Overpaid,13,3,2,1.2,Yes,1,0,0,0,1,1,4,4,2,2,2,Non-Travel,16,0,0.0,25,Medium,No,0
23,53,Female,Sales,Manager,4,Life Sciences,Married,15427,16858.45376577798,0.9150898542852265,Fair,16,3,0,1.0,No,25,8,3,7,31,2,4,1,3,3,3,Travel_Rarely,2,1,29619.84,0,Stable,No,0
24,38,Male,Research & Development,Research Scientist,3,Life Sciences,Single,3944,3703.6412016398463,1.0648979707466617,Fair,11,3,0,1.0,Yes,3,2,1,2,6,5,4,4,3,3,3,Travel_Rarely,2,0,0.0,25,Medium,No,0
26,24,Female,Research & Development,Manufacturing Director,2,Other,Divorced,4011,3561.8192422483066,1.1261099250696842,Fair,18,3,1,1.1,No,4,2,1,3,5,0,3,1,2,4,5,Non-Travel,11,1,9530.136,0,Stable,No,0
27,36,Male,Sales,Sales Representative,4,Life Sciences,Single,3407,5881.6674806928695,0.5792574998814197,Underpaid,23,4,0,1.0,No,5,3,0,3,10,7,1,3,3,2,4,Travel_Rarely,9,1,9403.32,45,Medium,Yes,1
28,34,Female,Research & Development,Research Director,4,Life Sciences,Single,11994,7146.7222010039795,1.6782518842435306,Overpaid,11,3,0,1.0,No,12,6,2,11,13,0,2,1,3,3,4,Travel_Rarely,7,0,0.0,15,Stable,No,0
30,21,Male,Research & Development,Research Scientist,2,Life Sciences,Single,1232,1024.3983358660034,1.2026571665195989,Overpaid,14,3,0,1.0,No,0,0,0,0,0,1,4,3,3,4,6,Travel_Rarely,15,0,0.0,0,Stable,No,0
31,34,Male,Research & Development,Research Scientist,1,Medical,Single,2960,4832.691757654968,0.6124950955771946,Underpaid,11,3,0,1.0,No,4,2,1,3,8,2,1,2,3,3,2,Travel_Rarely,6,1,3907.2,45,Medium,Yes,1
32,53,Female,Research & Development,Manager,3,Other,Divorced,19094,13021.94738941086,1.466293744630453,Overpaid,11,3,1,1.1,No,14,13,4,8,26,4,3,3,2,4,3,Travel_Rarely,5,0,0.0,20,Stable,No,0
33,32,Female,Research & Development,Research Scientist,1,Life Sciences,Single,3919,5794.27054517932,0.6763577864448364,Underpaid,22,4,0,1.0,Yes,10,2,6,7,10,1,1,2,3,2,5,Travel_Frequently,16,0,0.0,90,High,Yes,1
35,42,Male,Sales,Sales Executive,4,Marketing,Married,6825,6255.781575976049,1.0909907766297195,Fair,11,3,1,1.1,No,9,7,4,2,10,0,2,3,3,4,2,Travel_Rarely,8,1,9909.900000000001,35,Medium,No,0
36,44,Female,Research & Development,Healthcare Representative,4,Medical,Married,10248,13055.066064892824,0.7849826227657724,Underpaid,14,3,1,1.1,No,22,6,5,17,24,3,4,1,3,4,4,Travel_Rarely,7,1,18938.304000000004,50,High,No,0
38,46,Female,Sales,Manager,4,Marketing,Single,18947,11844.718925878315,1.599615838802611,Overpaid,12,3,0,1.0,No,2,2,2,1,22,3,1,2,2,4,2,Travel_Rarely,2,0,0.0,15,Stable,No,0
39,33,Male,Research & Development,Laboratory Technician,3,Medical,Single,2496,4424.775675620142,0.5640963933499703,Underpaid,11,3,0,1.0,No,1,1,0,0,7,4,4,3,3,4,3,Travel_Rarely,2,0,0.0,30,Medium,No,0
40,44,Male,Research & Development,Healthcare Representative,4,Other,Married,6465,5518.644158729154,1.1714833959304916,Overpaid,13,3,0,1.0,Yes,4,2,1,3,9,2,4,4,4,4,5,Travel_Rarely,10,0,0.0,25,Medium,No,0
41,30,Male,Research & Development,Laboratory Technician,2,Medical,Single,2206,6399.816115901733,0.3446974038080116,Underpaid,13,3,0,1.0,No,10,0,1,8,10,1,3,4,3,1,5,Travel_Rarely,9,1,3441.36,30,Medium,No,0
42,39,Male,Sales,Sales Representative,3,Technical Degree,Married,2086,10208.61589392359,0.20433720121075732,Underpaid,14,3,1,1.1,No,1,0,0,0,19,3,4,4,4,3,6,Travel_Rarely,5,0,0.0,30,Medium,Yes,1
45,24,Male,Research & Development,Research Scientist,3,Medical,Married,2293,3745.0148900260538,0.6122806096464005,Underpaid,16,3,1,1.1,Yes,2,0,2,0,6,2,4,2,2,1,2,Travel_Rarely,1,0,0.0,55,High,Yes,1
46,43,Female,Research & Development,Research Scientist,2,Medical,Divorced,2645,3852.079788349563,0.6866420596997186,Underpaid,12,3,2,1.2,No,5,3,1,4,6,1,3,4,2,4,3,Travel_Rarely,2,1,4570.5599999999995,30,Medium,No,0
47,50,Male,Sales,Sales Representative,2,Marketing,Married,2683,3111.4271469571927,0.8623052616301264,Fair,14,3,0,1.0,Yes,3,2,0,2,3,1,3,1,3,3,2,Travel_Rarely,3,0,0.0,25,Medium,Yes,1
49,35,Female,Sales,Sales Representative,3,Marketing,Married,2014,2519.6732951372933,0.7993099755777108,Underpaid,13,3,0,1.0,No,2,2,2,2,2,1,4,4,3,1,3,Travel_Rarely,2,1,3141.84,30,Medium,No,0
51,36,Female,Research & Development,Research Scientist,4,Life Sciences,Married,3419,3555.202614930129,0.9616892116477007,Fair,14,3,1,1.1,Yes,1,1,0,0,6,9,1,2,4,4,3,Travel_Rarely,5,0,0.0,40,Medium,No,0
52,33,Female,Sales,Sales Executive,3,Life Sciences,Married,5376,6317.054366964917,0.8510295602510297,Fair,19,3,2,1.2,No,5,3,1,3,10,2,1,3,3,1,3,Travel_Frequently,1,1,14708.736,15,Stable,No,0
53,35,Male,Research & Development,Laboratory Technician,2,Other,Divorced,1951,1860.9888347148874,1.0483673859864413,Fair,12,3,1,1.1,No,1,0,0,0,1,1,4,3,3,3,3,Travel_Rarely,4,0,0.0,0,Stable,No,0
54,27,Female,Research & Development,Laboratory Technician,4,Life Sciences,Divorced,2341,1686.1094157832767,1.3884033729284977,Overpaid,13,3,1,1.1,No,1,0,0,0,1,1,1,4,3,4,6,Travel_Rarely,2,0,0.0,15,Stable,No,0
55,26,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,2293,1773.5491252490822,1.292887784925588,Overpaid,12,3,0,1.0,No,1,0,0,1,1,1,3,1,2,3,2,Travel_Rarely,25,0,0.0,0,Stable,Yes,1
56,27,Male,Sales,Sales Executive,3,Life Sciences,Single,8726,5845.448872706994,1.4927852744966426,Overpaid,15,3,0,1.0,No,9,8,1,7,9,1,3,4,3,4,0,Travel_Frequently,8,0,0.0,0,Stable,No,0
57,30,Female,Research & Development,Laboratory Technician,2,Medical,Single,4011,6760.242968883838,0.5933218700070247,Underpaid,23,4,0,1.0,No,12,8,3,7,12,1,4,3,3,4,2,Travel_Frequently,1,1,11070.36,30,Medium,No,0
58,41,Female,Research & Development,Research Director,3,Technical Degree,Married,19545,11846.064571961742,1.6499150313818771,Overpaid,12,3,0,1.0,No,22,15,15,8,23,1,3,2,3,4,0,Travel_Rarely,12,0,0.0,20,Stable,Yes,1
60,34,Male,Sales,Sales Executive,4,Marketing,Single,4568,6086.73432430439,0.7504845384428775,Underpaid,20,4,0,1.0,No,9,5,8,7,10,0,3,2,3,3,2,Non-Travel,23,1,10963.2,50,High,No,0
61,37,Male,Research & Development,Research Scientist,2,Life Sciences,Married,3022,4412.833353643473,0.6848207847017096,Underpaid,21,4,0,1.0,No,1,0,0,0,8,4,2,2,3,1,1,Travel_Rarely,19,0,0.0,45,Medium,No,0
62,46,Male,Sales,Sales Executive,4,Marketing,Single,5772,7838.246885216615,0.7363891549379906,Underpaid,21,4,0,1.0,Yes,9,6,0,8,14,4,4,1,3,3,4,Travel_Frequently,5,0,0.0,55,High,No,0
63,35,Male,Research & Development,Laboratory Technician,1,Life Sciences,Married,2269,1948.4285441806928,1.164528207501757,Overpaid,19,3,0,1.0,No,1,0,0,1,1,1,4,4,3,4,2,Travel_Rarely,8,0,0.0,0,Stable,No,0
64,48,Male,Research & Development,Laboratory Technician,2,Life Sciences,Single,5381,11757.842718762062,0.45765197993450835,Underpaid,13,3,0,1.0,Yes,1,0,0,0,23,9,3,1,3,4,2,Travel_Rarely,1,0,0.0,55,High,Yes,1
65,28,Male,Research & Development,Laboratory Technician,4,Technical Degree,Single,3441,2094.592722126486,1.6428014685865067,Overpaid,13,3,0,1.0,Yes,2,2,2,2,2,1,3,3,2,3,3,Travel_Rarely,5,0,0.0,25,Medium,Yes,1
68,44,Female,Sales,Sales Executive,5,Marketing,Divorced,5454,5372.982717996668,1.0150786418374225,Fair,21,4,1,1.1,Yes,4,3,1,3,9,5,1,2,2,3,2,Travel_Rarely,1,0,0.0,40,Medium,No,0
70,35,Male,Research & Development,Healthcare Representative,2,Medical,Married,9884,6239.211408401066,1.5841745619792982,Overpaid,13,3,1,1.1,Yes,4,0,2,3,10,2,1,3,3,3,3,Non-Travel,11,0,0.0,40,Medium,No,0
72,26,Female,Sales,Sales Executive,3,Marketing,Married,4157,3952.3133684492427,1.0517890694560663,Fair,19,3,1,1.1,Yes,2,2,0,0,5,7,4,3,2,3,2,Travel_Rarely,23,0,0.0,25,Medium,No,0
73,33,Female,Research & Development,Research Director,2,Life Sciences,Single,13458,8001.363708224916,1.6819632866040064,Overpaid,12,3,0,1.0,Yes,15,14,8,12,15,1,4,1,3,3,1,Travel_Frequently,1,0,0.0,45,Medium,No,0
74,35,Male,Sales,Sales Executive,5,Life Sciences,Married,9069,5405.69136609284,1.6776762463512505,Overpaid,22,4,1,1.1,No,9,8,1,8,9,1,1,2,2,4,3,Travel_Frequently,18,0,0.0,15,Stable,No,0
75,35,Female,Research & Development,Laboratory Technician,4,Medical,Married,4014,2994.30671158532,1.340544034607199,Overpaid,15,3,1,1.1,Yes,2,2,2,2,4,3,1,3,3,3,3,Travel_Rarely,23,0,0.0,40,Medium,No,0
76,31,Male,Research & Development,Laboratory Technician,4,Life Sciences,Divorced,5915,5461.279240375452,1.0830795752522913,Fair,22,4,1,1.1,No,7,7,1,7,10,3,4,4,2,4,3,Travel_Rarely,7,1,17177.160000000003,0,Stable,No,0
77,37,Male,Research & Development,Manufacturing Director,4,Life Sciences,Divorced,5993,4306.279001633233,1.3916887404942988,Overpaid,18,3,1,1.1,No,7,5,0,7,7,1,3,1,4,3,2,Travel_Rarely,1,0,0.0,0,Stable,No,0
78,32,Male,Research & Development,Manufacturing Director,3,Medical,Married,6162,4993.722654108356,1.2339491851696043,Overpaid,22,4,1,1.1,Yes,9,8,7,8,9,1,4,1,3,2,3,Travel_Rarely,1,0,0.0,45,Medium,No,0
79,38,Female,Research & Development,Laboratory Technician,5,Life Sciences,Single,2406,5993.750733487989,0.40141809477616663,Underpaid,11,3,0,1.0,No,10,3,9,9,10,1,4,4,3,4,2,Travel_Frequently,29,1,3175.92,50,High,No,0
80,50,Female,Research & Development,Research Director,2,Medical,Divorced,18740,15479.917003992741,1.2106008058807023,Overpaid,12,3,1,1.1,Yes,27,3,13,8,29,5,3,2,2,4,2,Travel_Rarely,7,0,0.0,45,Medium,No,0
81,59,Female,Sales,Sales Executive,3,Life Sciences,Single,7637,14662.894200018498,0.5208385122215753,Underpaid,11,3,0,1.0,No,21,16,7,9,28,7,1,1,2,4,3,Travel_Rarely,25,1,10080.84,65,High,No,0
83,36,Female,Research & Development,Healthcare Representative,3,Technical Degree,Divorced,10096,9337.897729085786,1.0811855401406754,Fair,13,3,3,1.3,No,17,14,12,8,17,1,3,3,3,2,2,Travel_Rarely,8,1,20474.688000000002,20,Stable,No,0
84,55,Female,Research & Development,Manager,3,Medical,Divorced,14756,10905.448521212431,1.353085108906596,Overpaid,14,3,3,1.3,Yes,5,0,0,2,21,2,3,4,3,3,2,Travel_Rarely,8,0,0.0,25,Medium,No,0
85,36,Male,Research & Development,Manufacturing Director,3,Life Sciences,Single,6499,3889.4045687449448,1.6709498549535398,Overpaid,13,3,0,1.0,No,6,5,0,3,6,1,2,2,3,3,3,Travel_Frequently,11,0,0.0,15,Stable,No,0
86,45,Male,Research & Development,Research Scientist,3,Life Sciences,Divorced,9724,12237.8406422603,0.7945846235667275,Underpaid,17,3,1,1.1,No,1,0,0,0,25,2,1,2,3,3,2,Travel_Rarely,7,0,0.0,45,Medium,No,0
88,35,Male,Research & Development,Research Scientist,3,Medical,Married,2194,3253.7842069104295,0.6742917970221731,Underpaid,13,3,1,1.1,No,3,2,1,2,5,4,1,2,2,4,2,Travel_Frequently,1,1,3764.9040000000005,45,Medium,No,0
90,36,Male,Research & Development,Research Scientist,3,Medical,Married,3388,1891.1297634837092,1.7915216953483188,Overpaid,17,3,1,1.1,Yes,1,0,0,0,2,0,3,4,2,1,0,Travel_Rarely,9,0,0.0,25,Medium,Yes,1
91,59,Female,Sales,Sales Executive,1,Life Sciences,Single,5473,10936.046585566019,0.5004550737031022,Underpaid,11,3,0,1.0,No,4,3,1,3,20,7,3,1,2,4,2,Travel_Frequently,1,1,7224.36,30,Medium,No,0
94,29,Male,Research & Development,Research Scientist,3,Life Sciences,Married,2703,3451.846573195772,0.7830591373873033,Underpaid,23,4,1,1.1,No,5,4,0,4,6,0,2,3,3,4,3,Travel_Rarely,2,1,8206.308,45,Medium,No,0
95,31,Male,Research & Development,Research Scientist,4,Medical,Single,2501,1305.9176412830443,1.915128428422795,Overpaid,17,3,0,1.0,No,1,1,1,0,1,1,2,3,3,2,4,Travel_Rarely,1,0,0.0,15,Stable,No,0
96,32,Male,Research & Development,Research Scientist,3,Life Sciences,Married,6220,5788.438377919368,1.0745557944828215,Fair,17,3,2,1.2,No,10,4,0,9,10,1,2,2,3,2,3,Travel_Rarely,1,1,15226.560000000001,15,Stable,No,0
97,36,Female,Research & Development,Laboratory Technician,3,Life Sciences,Married,3038,3572.977104166751,0.8502713315618875,Fair,12,3,0,1.0,No,1,0,0,0,5,3,4,2,3,2,3,Travel_Rarely,6,0,0.0,0,Stable,No,0
98,31,Female,Research & Development,Manufacturing Director,4,Life Sciences,Single,4424,5962.82664735618,0.7419300042810283,Underpaid,23,4,0,1.0,No,11,7,1,8,11,1,4,3,3,4,2,Travel_Rarely,8,1,12210.24,30,Medium,No,0
100,35,Male,Sales,Sales Executive,4,Marketing,Single,4312,8994.173922067956,0.47942146075473907,Underpaid,14,3,0,1.0,No,15,13,2,8,16,0,1,3,3,2,2,Travel_Rarely,1,1,7244.160000000001,45,Medium,No,0
101,45,Male,Research & Development,Research Director,4,Other,Married,13245,8580.156916458178,1.5436780619470807,Overpaid,14,3,0,1.0,Yes,0,0,0,0,17,4,1,4,4,2,3,Travel_Rarely,6,0,0.0,40,Medium,No,0
102,37,Male,Research & Development,Research Director,4,Medical,Single,13664,8306.75482384126,1.6449263629140567,Overpaid,13,3,0,1.0,No,5,2,0,2,16,4,3,1,4,1,3,Travel_Rarely,7,0,0.0,0,Stable,No,0
103,46,Male,Human Resources,Human Resources,2,Medical,Divorced,5021,7658.519965673256,0.6556097029850345,Underpaid,22,4,1,1.1,Yes,4,2,0,2,16,8,2,2,3,4,2,Travel_Rarely,5,0,0.0,70,High,No,0
104,30,Male,Research & Development,Laboratory Technician,1,Life Sciences,Married,5126,6103.932481323999,0.8397864844809233,Underpaid,12,3,2,1.2,Yes,10,8,3,0,10,1,4,4,2,3,1,Travel_Rarely,1,0,0.0,55,High,No,0
105,35,Male,Research & Development,Research Scientist,3,Medical,Single,2859,3771.181808502992,0.758117785134021,Underpaid,18,3,0,1.0,No,6,4,0,4,6,1,3,2,3,1,3,Travel_Rarely,1,1,6175.44,30,Medium,No,0
106,55,Male,Sales,Sales Executive,2,Life Sciences,Married,10239,12628.409666160176,0.8107909286025953,Underpaid,14,3,1,1.1,No,1,0,1,0,24,3,4,1,3,4,4,Travel_Rarely,1,0,0.0,30,Medium,No,0
107,38,Female,Research & Development,Research Scientist,3,Medical,Divorced,5329,8765.40085786122,0.6079585048549953,Underpaid,12,3,3,1.3,Yes,13,11,1,9,17,7,4,2,3,4,3,Non-Travel,6,0,0.0,55,High,No,0
110,34,Male,Research & Development,Manufacturing Director,2,Medical,Married,4325,3616.2763898729836,1.1959815936944769,Overpaid,15,3,0,1.0,No,5,2,1,3,5,1,2,1,3,3,2,Travel_Rarely,1,0,0.0,15,Stable,No,0
112,56,Male,Research & Development,Manufacturing Director,3,Life Sciences,Single,7260,17882.886823362314,0.40597472162690706,Underpaid,11,3,0,1.0,No,6,4,0,2,37,4,4,4,2,1,3,Travel_Rarely,7,1,9583.2,30,Medium,No,0
113,23,Male,Sales,Sales Representative,1,Technical Degree,Divorced,2322,3131.3262495598524,0.7415388288992201,Underpaid,13,3,1,1.1,No,0,0,0,0,3,3,1,3,3,3,3,Travel_Rarely,2,0,0.0,45,Medium,No,0
116,51,Male,Research & Development,Laboratory Technician,4,Life Sciences,Married,2075,5537.4848875286325,0.37471885560776097,Underpaid,23,4,2,1.2,No,4,2,0,3,10,3,4,4,3,2,4,Travel_Rarely,9,1,6872.4,30,Medium,No,0
117,30,Male,Research & Development,Healthcare Representative,3,Life Sciences,Married,4152,6503.674546982992,0.6384083290154922,Underpaid,19,3,3,1.3,No,11,10,10,8,11,1,4,3,3,1,3,Travel_Rarely,2,1,12306.528,50,High,No,0
118,46,Male,Sales,Sales Executive,2,Medical,Single,9619,5932.8885821728,1.621301304882627,Overpaid,16,3,0,1.0,No,9,8,4,7,9,1,4,3,3,4,3,Travel_Rarely,9,0,0.0,20,Stable,Yes,1
119,40,Male,Research & Development,Healthcare Representative,4,Life Sciences,Married,13503,12034.220241767773,1.1220502640573637,Fair,22,4,1,1.1,No,22,3,11,11,22,1,2,3,2,4,3,Travel_Frequently,1,1,39212.712,35,Medium,No,0
120,51,Male,Sales,Sales Executive,4,Marketing,Single,5441,6495.2176306475985,0.8376932551615689,Underpaid,22,4,0,1.0,Yes,10,7,1,0,11,0,4,3,1,4,2,Travel_Rarely,21,0,0.0,55,High,No,0
121,30,Female,Sales,Sales Executive,2,Medical,Divorced,5209,6941.516866880987,0.7504123522126578,Underpaid,12,3,3,1.3,Yes,11,8,2,7,11,1,2,3,2,2,4,Travel_Rarely,4,0,0.0,70,High,No,0
124,46,Male,Research & Development,Healthcare Representative,3,Medical,Married,10673,10995.70276465793,0.9706519199759426,Fair,13,3,1,1.1,Yes,10,9,9,5,21,2,1,3,2,3,5,Travel_Frequently,1,0,0.0,60,High,No,0
125,32,Male,Sales,Sales Executive,4,Medical,Single,5010,7216.494442678793,0.6942428958817665,Underpaid,16,3,0,1.0,No,11,8,5,7,12,1,3,2,3,1,0,Travel_Rarely,6,1,9619.2,50,High,No,0
126,54,Female,Research & Development,Research Director,4,Technical Degree,Married,13549,8204.382258211142,1.6514345106774901,Overpaid,12,3,1,1.1,No,4,3,0,3,16,9,3,1,1,1,5,Travel_Rarely,2,0,0.0,0,Stable,No,0
128,24,Female,Sales,Sales Executive,2,Other,Married,4999,3379.4751431277646,1.4792237812920666,Overpaid,21,4,1,1.1,No,3,2,0,2,4,0,3,1,2,1,2,Travel_Rarely,3,0,0.0,0,Stable,No,0
129,28,Male,Sales,Sales Executive,3,Medical,Married,4221,4019.8539753123882,1.0500381421621119,Fair,15,3,0,1.0,No,5,4,0,4,5,1,3,2,4,2,3,Non-Travel,4,1,7597.799999999999,0,Stable,No,0
131,58,Male,Sales,Sales Executive,4,Medical,Single,13872,20232.83130787435,0.6856183293833524,Underpaid,13,3,0,1.0,No,37,10,1,8,38,0,3,4,2,3,1,Travel_Rarely,10,1,21640.32,30,Medium,No,0
132,44,Male,Research & Development,Laboratory Technician,3,Medical,Married,2042,8984.344500158222,0.2272842498374855,Underpaid,12,3,1,1.1,No,3,2,1,2,17,4,2,2,4,3,3,Non-Travel,23,1,3234.5280000000002,45,Medium,No,0
133,37,Male,Human Resources,Human Resources,4,Human Resources,Divorced,2073,3380.4704465522145,0.6132282570653086,Underpaid,22,4,0,1.0,Yes,3,2,0,2,7,4,1,3,3,4,3,Travel_Rarely,6,0,0.0,70,High,Yes,1
134,32,Male,Research & Development,Research Scientist,1,Life Sciences,Single,2956,1616.1521876859026,1.8290356703551331,Overpaid,13,3,0,1.0,No,1,0,0,0,1,1,1,4,3,4,2,Travel_Rarely,1,0,0.0,15,Stable,No,0
137,20,Female,Research & Development,Laboratory Technician,3,Life Sciences,Single,2926,1773.5491252490822,1.6497992405984607,Overpaid,18,3,0,1.0,Yes,1,0,1,0,1,1,4,4,3,2,5,Travel_Frequently,6,0,0.0,25,Medium,Yes,1
138,34,Female,Research & Development,Research Scientist,4,Other,Single,4809,8295.644760529143,0.5797017759103338,Underpaid,14,3,0,1.0,No,16,13,2,10,16,1,3,1,3,3,3,Travel_Rarely,6,1,8079.120000000001,30,Medium,No,0
139,37,Male,Research & Development,Healthcare Representative,2,Life Sciences,Divorced,5163,9224.838928632955,0.5596845690144873,Underpaid,14,3,1,1.1,No,1,0,0,0,17,5,4,3,4,4,2,Non-Travel,2,0,0.0,30,Medium,No,0
140,59,Female,Human Resources,Manager,4,Human Resources,Married,18844,13561.043147081411,1.389568619140894,Overpaid,21,4,1,1.1,No,3,2,2,2,30,9,4,3,3,4,3,Non-Travel,2,0,0.0,0,Stable,No,0
141,50,Female,Research & Development,Research Director,3,Life Sciences,Married,18172,13907.93449492866,1.3065922913734007,Overpaid,19,3,0,1.0,Yes,8,3,0,7,28,3,2,1,2,1,1,Travel_Frequently,1,0,0.0,40,Medium,No,0
142,25,Male,Sales,Sales Executive,3,Marketing,Single,5744,4524.1681176664815,1.269625674954514,Overpaid,11,3,0,1.0,Yes,6,4,0,3,6,1,3,3,3,4,1,Travel_Rarely,5,0,0.0,25,Medium,Yes,1
143,25,Male,Research & Development,Research Scientist,1,Medical,Married,2889,2024.6354940291121,1.4269235171071535,Overpaid,11,3,2,1.2,No,2,2,2,1,2,1,4,4,3,3,2,Travel_Rarely,7,0,0.0,0,Stable,No,0
144,22,Female,Research & Development,Laboratory Technician,3,Medical,Single,2871,1719.0919776244054,1.6700677086326723,Overpaid,15,3,0,1.0,No,0,0,0,0,1,1,4,2,3,3,5,Travel_Rarely,15,0,0.0,0,Stable,No,0
145,51,Female,Research & Development,Healthcare Representative,4,Medical,Single,7484,11562.72414582612,0.6472523175000723,Underpaid,20,4,0,1.0,No,13,12,12,8,23,3,1,1,2,3,1,Travel_Frequently,1,1,17961.600000000002,65,High,No,0
147,34,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,6074,5207.776250361194,1.1663327508701489,Overpaid,24,4,0,1.0,Yes,9,7,0,6,9,1,3,1,3,4,3,Travel_Frequently,7,0,0.0,25,Medium,Yes,1
